row_number,strt_lon,strt_lat,end_lon,end_lat,m,km,minutes,hours
1,-71.073644,42.350989,-71.050699,42.357143,2279,2.279,11,0.183333333
2,-71.050699,42.357143,-71.076847,42.341332,3506,3.506,15.75,0.2625
3,-71.045461,42.351821,-71.055407,42.356755,1101,1.101,5.333333333,0.088888889
4,-71.123831,42.352261,-71.074182,42.338623,5432,5.432,21.38333333,0.356388889
5,-71.123831,42.352261,-71.056067,42.362811,7809,7.809,29.6,0.493333333
6,-71.045461,42.351821,-71.056067,42.362811,1677,1.677,7.483333333,0.124722222
7,-71.123831,42.352261,-71.088496,42.335911,4946,4.946,17.75,0.295833333
8,-71.045461,42.351821,-71.055547,42.352175,1490,1.49,8.216666667,0.136944444
9,-71.123831,42.352261,-71.09788,42.344763,3463,3.463,12.96666667,0.216111111
10,-71.045461,42.351821,-71.123831,42.352261,7946,7.946,29.56666667,0.492777778
11,-71.123831,42.352261,-71.073644,42.350989,4499,4.499,15.3,0.255
12,-71.045461,42.351821,-71.094734,42.331567,5808,5.808,24.55,0.409166667
13,-71.045461,42.351821,-71.0790969,42.3348756,4105,4.105,16.56666667,0.276111111
14,-71.045461,42.351821,-71.074182,42.338623,3525,3.525,14.18333333,0.236388889
15,-71.045461,42.351821,-71.099855,42.346171,6705,6.705,26.65,0.444166667
16,-71.045461,42.351821,-71.09788,42.344763,6094,6.094,26.73333333,0.445555556
17,-71.045461,42.351821,-71.085954,42.348717,4734,4.734,19.65,0.3275
18,-71.045461,42.351821,-71.050699,42.357143,864,0.864,3.35,0.055833333
19,-71.050699,42.357143,-71.055547,42.352175,1268,1.268,7.166666667,0.119444444
20,-71.074182,42.338623,-71.076847,42.341332,616,0.616,2.733333333,0.045555556
21,-71.055407,42.356755,-71.074182,42.338623,3303,3.303,13.68333333,0.228055556
22,-71.074182,42.338623,-71.066289,42.351146,1866,1.866,8.983333333,0.149722222
23,-71.055407,42.356755,-71.088496,42.335911,4423,4.423,17.98333333,0.299722222
24,-71.055407,42.356755,-71.129791,42.36337,8687,8.687,30.31666667,0.505277778
25,-71.044624,42.353412,-71.076847,42.341332,4533,4.533,17.05,0.284166667
26,-71.045461,42.351821,-71.076163,42.347433,3714,3.714,17.45,0.290833333
27,-71.074182,42.338623,-71.070378,42.352096,2390,2.39,11.35,0.189166667
28,-71.146452,42.357247,-71.074182,42.338623,7505,7.505,28.7,0.478333333
29,-71.088496,42.335911,-71.056868,42.360583,4485,4.485,18.93333333,0.315555556
30,-71.09788,42.344763,-71.074182,42.338623,2974,2.974,13.08333333,0.218055556
31,-71.129791,42.36337,-71.045461,42.351821,9073,9.073,34.45,0.574166667
32,-71.055547,42.352175,-71.085918,42.343864,3870,3.87,16.61666667,0.276944444
33,-71.09788,42.344763,-71.088496,42.335911,2745,2.745,11.15,0.185833333
34,-71.074182,42.338623,-71.085954,42.348717,2196,2.196,9.25,0.154166667
35,-71.094734,42.331567,-71.070378,42.352096,3419,3.419,14.23333333,0.237222222
36,-71.074182,42.338623,-71.146452,42.357247,7391,7.391,29.7,0.495
37,-71.099855,42.346171,-71.085918,42.343864,1533,1.533,6.383333333,0.106388889
38,-71.070378,42.352096,-71.074182,42.338623,2036,2.036,11.36666667,0.189444444
39,-71.045461,42.351821,-71.088496,42.335911,5078,5.078,21.75,0.3625
40,-71.074182,42.338623,-71.09788,42.344763,2945,2.945,12.91666667,0.215277778
41,-71.088496,42.335911,-71.05896,42.354594,3821,3.821,17.01666667,0.283611111
42,-71.129791,42.36337,-71.123831,42.352261,2067,2.067,9.533333333,0.158888889
43,-71.076847,42.341332,-71.056067,42.362811,3922,3.922,17.13333333,0.285555556
44,-71.066289,42.351146,-71.055407,42.356755,1869,1.869,8.483333333,0.141388889
45,-71.076163,42.347433,-71.055407,42.356755,2816,2.816,14.38333333,0.239722222
46,-71.085918,42.343864,-71.073644,42.350989,1637,1.637,5.483333333,0.091388889
47,-71.055407,42.356755,-71.066289,42.351146,1804,1.804,7.366666667,0.122777778
48,-71.055547,42.352175,-71.076847,42.341332,3110,3.11,13.31666667,0.221944444
49,-71.085954,42.348717,-71.099855,42.346171,1816,1.816,7.65,0.1275
50,-71.073644,42.350989,-71.123831,42.352261,6028,6.028,21.1,0.351666667
51,-71.076847,42.341332,-71.099855,42.346171,2853,2.853,12.38333333,0.206388889
52,-71.105884,42.350075,-71.066289,42.351146,4955,4.955,17.86666667,0.297777778
53,-71.085954,42.348717,-71.068922,42.341522,2478,2.478,12.38333333,0.206388889
54,-71.074182,42.338623,-71.123831,42.352261,5172,5.172,23.4,0.39
55,-71.077303,42.349673,-71.074182,42.338623,2009,2.009,10.28333333,0.171388889
56,-71.050699,42.357143,-71.045461,42.351821,880,0.88,6.816666667,0.113611111
57,-71.068922,42.341522,-71.0790969,42.3348756,1122,1.122,4.65,0.0775
58,-71.044624,42.353412,-71.059364,42.359677,2019,2.019,10.05,0.1675
59,-71.088496,42.335911,-71.074182,42.338623,1697,1.697,7.7,0.128333333
60,-71.076847,42.341332,-71.137313,42.353334,6040,6.04,26.38333333,0.439722222
61,-71.045461,42.351821,-71.068922,42.341522,2850,2.85,12.21666667,0.203611111
62,-71.090179,42.341814,-71.076163,42.347433,1879,1.879,9.083333333,0.151388889
63,-71.09788,42.344763,-71.129791,42.36337,4726,4.726,19.66666667,0.327777778
64,-71.123831,42.352261,-71.05896,42.354594,5860,5.86,21.23333333,0.353888889
65,-71.056067,42.362811,-71.123831,42.352261,7480,7.48,26.85,0.4475
66,-71.090179,42.341814,-71.129791,42.36337,5905,5.905,25.15,0.419166667
67,-71.085918,42.343864,-71.045461,42.351821,4246,4.246,17.58333333,0.293055556
68,-71.09788,42.344763,-71.085918,42.343864,1480,1.48,5.683333333,0.094722222
69,-71.050699,42.357143,-71.123831,42.352261,7519,7.519,27.35,0.455833333
70,-71.090179,42.341814,-71.094734,42.331567,1508,1.508,7.516666667,0.125277778
71,-71.077303,42.349673,-71.060868,42.366231,3425,3.425,15.25,0.254166667
72,-71.056067,42.362811,-71.045461,42.351821,1752,1.752,10.5,0.175
73,-71.088496,42.335911,-71.102797,42.337171,1536,1.536,7,0.116666667
74,-71.0790969,42.3348756,-71.068922,42.341522,1122,1.122,4.45,0.074166667
75,-71.088496,42.335911,-71.105884,42.350075,3585,3.585,16,0.266666667
76,-71.076847,42.341332,-71.077303,42.349673,1122,1.122,5.35,0.089166667
77,-71.060868,42.366231,-71.077303,42.349673,4067,4.067,16.5,0.275
